,LoanID,Loanscore,Subject..Property.City,Subject..PropertyState,distancemiles,Male.Female,curbal,OrigTransdays,Origination.UPB,Repeat,Lending.Value,Interest.Rate,LTV,Credit.Score,Open.Current.Mortgage.Late,Closed.Past.Mortgage.Late,Foreclosure,Open.Current.Auto.Late,Closed.Past.Auto.Late,Open.Current.Revolving.Late,Closed.Revolving.Late,Open.Current.Education.Late,Closed.Past.Education.Late,Open.Current.Installment.Late,Closed.Past.Installment.Late,Bankrupcy,Charge.offs,Collections,Debt.High.Credit....,DOM,Yearbuilt,X..of.comarable.properties,Comparable.properties.lower.price,Comparable.properties.upper.price,X..of.comparable.sales,Comparable.sale.lower.price.range,Comparable.sale.upper.price.range,Rooms,Bedrooms,Baths,Square.feet.of.gross.living.area,Sale.Price,Price.of.Prior.Sale.Transfer,Appraisal.price,Indicated.Value.by.Cost.Approach,Indicated.Value.by.Income.Approach,Appraisal.Monthly.Rent,Market.Rent,Total...of.Comarable.Sales...prior.7.12.months.,Total...of.Comarable.Sales...prior.4.6.months.,Total...of.Comarable.Sales...prior.current.3.months.,Absorption.Rate...prior.7.12.months.,Absorption.Rate...prior.4.6.months.,Absorption.Rate...prior.current.3.months.,Total...of.Comparable.Active.listings.prior.7.12.months.,Total...of.Comparable.Active.listings.prior.4.6.months.,Total...of.Comparable.Active.listings.prior.current.3.months.,Median.Comparable.Sale.Price..prior.7.12.months.,Median.Comparable.Sale.Price..prior.4.6.months.,Median.Comparable.Sale.Price..prior.current.3.months.,Median.Comparable.sales.Days.on.market.prior.7.12.months.,Median.Comparable.sales.Days.on.market.prior.4.6.months.,Median.Comparable.sales.Days.on.market.prior.current.3.months.,Median.Comparable.List.Price.prior.7.12.months.,Median.Comparable.List.Price.prior.4.6.months.,Median.Comparable.List.Price.prior.current.3.months.,median.Comparable.listings.Days.on.Market.prior.7.12.months.,median.Comparable.listings.Days.on.Market.prior.4.6.months.,median.Comparable.listings.Days.on.Market.prior.current.3.months.,Median.Sale.Price.a.s..of.List.Price.prior.7.12.months.,Median.Sale.Price.a.s..of.List.Price.prior.4.6.months.,Median.Sale.Price.a.s..of.List.Price.prior.current.3.months.,Months.of.Housing.Supply.prior.7.12.months.,Months.of.Housing.Supply.prior.4.6.months.,Months.of.Housing.Supply.prior.current.3.months.,Foreclosure.sales,VFS.Internal.Value,WLV,X..of.home.purchased.in.last.3.years,X..of.years.investing,X..of.Properties.currently.owned,Current.Rent,Borrower.Rent,Expected.cost.to.Rehab63,Expected.flip.price,Borrower.Age.Group,Size,Origination.Quarter,Loan.Type,Loan.Term,Loan.Purpose,Prime.Sub.Prime,Current.NonCurrent,First.Payment.Default,Occupant,Assignment.Type,Location,Built.up,Growth,Property.Values,Demand.Supply,Marketing.Time,Units,Type,Condition,Rent.Own,Full.or.Part.Time.investor,Classifier,MR.UPB,MR.LV,MR.VFS,MR.APP,MR.MCSP,LV.VFS,APP.VFS,UPB.VFS,logloanscore
494,1411055,666.6666667,Anderson,SC,22.76,M,22034.7993,455.16,22500,4,43000,0.15,0.69231,674,N,N,N,N,N,N,N,N,N,N,N,N,0.42,0.8,1.3838,107,61,8,29500,69900,13,26000,50000,7,3,2,1641,32500,23564.64,43000,56484,41293.46,2085.15,890,9,2,2,1.5,0.67,0.67,5,8,5,41900,44000,38750,19,54,130,47400,45400,44750,68,136,144,0.9,87.77,0.98,3.33,11.94,7.46,1,20000,-12937,2,1,4,0,0,30000,0,5. 55-64,"3. $20,000-$29,999",2014 Q4,Third Party Lending,6 Month,Purchase,Prime,Non Current,OK,vacant,Purchase Transaction,suburban,25-75%,stable,stable,in balance,Over 6 mths,1,det.,c5,Own,FT,Good,0.039555556,0.020697674,0.0445,0.020697674,0.022967742,2.15,2.15,1.125,2.151762203
495,1411056,500,Williamston,SC,10.8,M,20000,537,20000,4,39000,0.15,0.66667,674,N,N,N,N,N,N,N,N,N,N,N,N,0.67,0.97,0.8936,39,21,9,20000,60000,8,25000,50000,7,3,2,1563,29750,20000,39000,78268,43667.11,914.5,900.7,4,2,2,0.67,0.67,0.67,6.88,12.46,9,41400,32000,47500,110,167,134,43000,33500,49900,170.71,152.82,111.74,0.96,95,0.95,12.4,14.6456,13.43,0,29000,-851,2,1,4,0,600,30000,90000,5. 55-64,"3. $20,000-$29,999",2014 Q4,Third Party Lending,6 Month,Purchase,Prime,Current,OK,vacant,Refinance Transaction,suburban,25-75%,stable,stable,in balance,3-6 mths,1,det.,c5,Own,FT,Good,0.045035,0.023094872,0.031058621,0.023094872,0.018962105,1.344827586,1.344827586,0.689655172,2.079441542
496,1411057,1000,Fountain Inn,SC,14.14,M,42050.6473,215,44520,4,84000,0.15,0.53,674,N,N,N,N,N,N,N,N,N,Y,N,N,0,0,0.87,147,10,4,50000,110000,9,65000,92000,7,3,2,1121,67742.23,42200,84000,5000,87497.63,12039.58,830,7,6,4,1.17,2,1.33,3,4,4,84500,81875,84550,37,81,9,81450,96450,103000,213,213,92,0.99,95.42,1,2.56,2,3.01,0,73000,12764,2,1,4,0,750,0,85000,5. 55-64,"5. $40,000-$49,999",2014 Q4,Third Party Lending,6 Month,Refi-Cashout,Prime,Non Current,OK,vacant,Refinance Transaction,suburban,25-75%,stable,stable,in balance,3-6 mths,1,det.,c3,Own,FT,Good,0.018643306,0.009880952,0.011369863,0.009880952,0.009816677,1.150684932,1.150684932,0.609863014,2.197224577
497,1411064,625,Paulsboro,NJ,31.38,M,24482.6508,535.33,26700,2,40000,0.15,0.70263,683,N,N,N,N,N,N,Y,N,N,N,N,N,0,0,0.44,182,75,4,49900,94900,6,39000,85000,7,3,1,1482,38000,34346.66,40000,46313,37050,1237.69,1150,2,0,4,0.33,0.5327,1.33,1,1,2,62500,40205.74,57300,85,63.29,185,94900,59900,58900,199,175,26,0.66,63.3227,0.97,3.03,1.9413,1.5,1,34000,-4457,1,1,1,0,1300,25000,105000,3. 35-44,"3. $20,000-$29,999",2014 Q4,Third Party Lending,6 Month,Purchase,Prime,Non Current,OK,vacant,Purchase Transaction,suburban,25-75%,stable,stable,in balance,3-6 mths,1,det.,c5,Own,PT,Good,0.043071161,0.02875,0.033823529,0.02875,0.020069808,1.176470588,1.176470588,0.785294118,2.140066163
498,1411068,500,Rochester,NH,0.1,M,58300,347,58300,3,110000,0.15,0.53,631,N,N,N,N,N,N,N,N,N,N,N,N,0.44,1.15,0.8458,128.82,215,1,108900,108900,3,45000,124900,5,2,1,1164,92680.52,68000,110000,174300,129600,1353.06,1245.4,0,1,2,0.5823,0.33,0.67,2,1,1,82440.09,45000,119950,123.62,100,91,97000,108900,108900,54,69,162,0.7678,82,0.91,3.2927,3.03,1.49,1,84000,10641,6,5,7,0,0,5000,130000,5. 55-64,"5. $50,000-$59,000",2014 Q4,Third Party Lending,6 Month,Refi-Cashout,Prime,Current,OK,vacant,Refinance Transaction,urban,Over 75%,stable,stable,in balance,3-6 mths,2,det.,c4,Own,PT,Good,0.021361921,0.011321818,0.01482619,0.011321818,0.010382659,1.30952381,1.30952381,0.694047619,2.079441542
499,1411069,750,Gulf Breeze,FL,0.47,F,74231.4934,132,66250,2,125000,0.15,0.53,606,N,N,N,N,N,Y,N,N,N,N,N,N,0,2,1.27,67.58,1,25,146000,285000,20,146000,248000,8,4,3,1811,136128.32,100,125000,121503,170945.19,2479.73,1410,9,5,6,1.5,1.67,2,17,14,25,215900,198746,204937,227,106,85,209900,208557,211807,227,189,84,0.98,98,0.98,11.33,8.38,12.5,0,105000,3097,2,10,1,0,2000,75000,279900,3. 35-44,"6. >$60,000",2014 Q4,Third Party Lending,6 Month,Refi-Cashout,Prime,Non Current,OK,vacant,Refinance Transaction,suburban,25-75%,stable,stable,in balance,3-6 mths,1,det.,c6,Own,FT,Good,0.021283019,0.01128,0.013428571,0.01128,0.006880163,1.19047619,1.19047619,0.630952381,2.178528671
500,1411071,500,Toledo,OH,8.19,M,24425,119,24425,1,35000,0.15,0.70797,647,N,N,N,N,N,N,N,N,N,N,N,N,0.82,1.17,0.9378,42,43,19,64900,118000,30,18500,146000,7,3,1,1188,34500,30000,35000,44954,53152.61,5422.63,700,10,11,9,1.67,3.67,3,25,24,19,82750,86000,99000,129,102,72,89900,99950,92900,97,78,77,0.96,95,0.92,14.97,6.54,6.33,1,21000,-16006,0,0,0,0,750,3500,75000,4. 45-54,"3. $20,000-$29,999",2014 Q4,Third Party Lending,6 Month,Purchase,Prime,Current,OK,vacant,Purchase Transaction,urban,Over 75%,slow,stable,in balance,3-6 mths,1,det.,c6,Own,PT,Good,0.028659161,0.02,0.033333333,0.02,0.007070707,1.666666667,1.666666667,1.163095238,2.079441542
501,1411078,500,Reading,PA,1.01,M,27654.24,258,28000,1,52000,0.18,0.53846,591,N,N,N,N,N,N,N,N,N,N,N,N,1,2,1.0401,35,115,8,30000,70000,30,25000,75000,7,4,1,1560,47382.75,18750,52000,56691,55730.81,868.45,740,14,10,4,2.33,3.33,1.33,7,5,5,26750,30725,32450,77,77,58,39900,39900,36400,153,183,38,0.89,85,0.9,3,1.5,3.76,0,50000,8843,1,10,1,0,885,10000,81000,3. 35-44,"3. $20,000-$29,999",2014 Q4,Third Party Lending,10 Yr,Refi-Cashout,Prime,Current,OK,tenant,Refinance Transaction,urban,Over 75%,stable,stable,in balance,3-6 mths,1,att.,c3,Rent,PT,Good,0.026428571,0.014230769,0.0148,0.014230769,0.022804314,1.04,1.04,0.56,2.079441542
502,1411079,500,Baltimore,MD,3.88,M,23391.5,198,24715,1,45000,0.18,0.54922,556,N,N,N,N,N,N,Y,N,N,N,N,N,0,2,5.4896,26,115,112,3950,279900,86,3600,276850,6,4,1,1204,45252.42,13200,45000,79564,110400,1200,1350,41,23,22,6.83,7.67,7.33,88,105,112,34100,18000,15750,34,50,97,44500,45000,59950,248,202,149,1,96.19,1,12.88,13.69,15.28,1,36000,-170,1,1,1,0,1500,10000,0,3. 35-44,"3. $20,000-$29,999",2014 Q4,Third Party Lending,5 Yr,Refi-Cashout,Sub Prime,Current,OK,others,Refinance Transaction,urban,Over 75%,stable,stable,in balance,3-6 mths,1,att.,c3,Own,PT,Good,0.054622699,0.03,0.0375,0.03,0.085714286,1.25,1.25,0.686527778,2.079441542
503,1411081,500,Washington,GA,309.85,F,58300,337,58300,1,110000,0.15,0.53,701,N,N,N,N,N,N,N,N,N,N,N,N,0.45,0.87,1.2518,133.87,1,2,129900,149900,3,110000,152600,7,4,2,1664,104891.05,4500,110000,112000,128248.67,1357.96,1050.7,1,1,1,0.17,0.33,0.33,3.68,3.63,2,110000,145000,152600,396,207,57,132998.43,149366,139900,203.63,142.96,57,0.98,95,0.98,8.7238,6.8015,6.06,0,97000,29574,3,20,6,0,900,0,0,6. 65+,"5. $50,000-$59,000",2014 Q4,Third Party Lending,6 Month,Refi-Cashout,Prime,Current,OK,vacant,Other,rural,25-75%,stable,stable,in balance,3-6 mths,1,det.,c1,Own,FT,Good,0.018022298,0.009551818,0.010831959,0.009551818,0.006885321,1.134020619,1.134020619,0.601030928,2.079441542
504,1411090,500,Columbia,SC,15.63,M,50880,383.33,50880,4,96000,0.15,0.53,589,N,N,N,N,N,N,N,N,N,N,N,N,1.62,3.71,1.323,90.18,38,6,87500,199900,14,65000,175900,8,3,2,2190,87241.6,56598.07,96000,103706,134400,1340.73,1260,3,6,5,0.5,2,1.67,3,6,6,106000,154250,166000,104,64,26,120000,144900,144900,172,102,81,0.98,98,0.95,6,3,3.59,0,73000,4891,20,12,3,0,1100,50000,155000,5. 55-64,"5. $50,000-$59,000",2014 Q4,Third Party Lending,6 Month,Refi-Cashout,Prime,Current,OK,vacant,Refinance Transaction,suburban,25-75%,stable,stable,in balance,3-6 mths,1,det.,c5,Rent,PT,Good,0.024764151,0.013125,0.017260274,0.013125,0.007590361,1.315068493,1.315068493,0.696986301,2.079441542
505,1411091,500,Winston-Salem,NC,0.07,M,36486.79,238,36943,1,65000,0.18,0.689,507,N,N,N,N,N,N,N,N,N,N,N,N,5,13,1.5441,190,56,5,59900,89900,6,60000,106000,1,3,1,1232,53618,99588,65000,75526,67784.56,2029.71,880,2,2,2,0.33,0.67,0.67,1,0,3,91100,78500,94450,397,229,92,89900,0,72567,166,0,58,1.01,0,1.3,3.03,0,4.48,0,50000,50000,0,1,1,0,975,0,0,3. 35-44,"4. $30,000-$39,000",2014 Q4,Third Party Lending,10 Yr,Purchase,Sub Prime,Current,OK,vacant,Purchase Transaction,suburban,25-75%,stable,stable,in balance,3-6 mths,1,det.,c4,Own,PT,Good,0.02382048,0.013538462,0.0176,0.013538462,0.009317099,1.3,1.3,0.73886,2.079441542
506,1411095,666.6666667,Vicksburg,MS,2.07,F,54558.0702,80,58300,8,110000,0.18,0.53,536,N,N,N,N,Y,Y,Y,N,N,N,Y,N,2,2,0.11,62,65,1,0,119000,0,0,0,8,4,3,1914,88643.44,30510,110000,143705,112599.05,4089.18,900,0,4,0,0,1.33,0,5.79,9.29,2,0,123000,0,0,133,0,93771.46,90762.87,124450,244.77,132.55,42,0,98.84,0,12.76,7.4449,0,0,78000,16298.92,0,0,0,0,0,0,120000,5. 55-64,"5. $50,000-$59,000",2014 Q4,Third Party Lending,10 Yr,Refi-Cashout,Sub Prime,Non Current,Default,vacant,Refinance Transaction,suburban,25-75%,stable,stable,in balance,3-6 mths,1,det.,c5,Own,FT,Good,0.015437393,0.008181818,0.011538462,0.008181818,0,1.41025641,1.41025641,0.747435897,2.151762203
507,1411097,500,Kannapolis,NC,25.51,M,42399.86,373.83,42930,4,81000,0.18,0.53,568,N,N,N,N,N,N,N,N,N,N,N,N,1.05,2.04,1.4056,85.01,70,5,61000,109900,7,59000,107000,7,2,2,1112,67664.35,30619.09,81000,82653,81286.8,872.92,700,7,4,2,1.17,1.33,0.67,5,3,2,81000,82000,82000,120,110,110,84000,85000,85000,100,95,96,0.98,98,0.98,4.27,2.26,2.99,0,66000,18458,0,0,0,0,795,0,0,4. 45-54,"5. $40,000-$49,999",2014 Q4,Third Party Lending,10 Yr,Refi-Cashout,Sub Prime,Current,OK,tenant,Refinance Transaction,suburban,25-75%,stable,stable,in balance,3-6 mths,1,det.,c3,Own,PT,Good,0.016305614,0.008641975,0.010606061,0.008641975,0.008536585,1.227272727,1.227272727,0.650454545,2.079441542
508,1411098,500,Paterson,NJ,10.08,M,59635.06,225,60000,1,135000,0.18,0.44444,748,N,N,N,N,N,N,N,N,N,N,N,N,0.27,0.9,0.8598,106.4,71,6,190000,210000,18,130000,175000,5,2,1,1136,104110.36,38000,135000,138500,135264.64,1445.73,1060,8.67,4.02,4.02,1.3259,1.3559,1.1684,2.85,3.22,5.23,131474.25,117564.8,127524,74.18,76.77,77.06,118890.76,129688.72,138255.86,120.85,100.72,65.95,0.8464,92.4902,0.8746,0,0,0,0.48,72000,-29133,0,0,0,0,0,0,0,4. 45-54,"6. >$60,000",2015 Q1,Third Party Lending,10 Yr,Refi-Cashout,Prime,Current,Default,vacant,Refinance Transaction,suburban,Over 75%,stable,stable,over supply,3-6 mths,1,det.,c3,Own,PT,Good,0.017666667,0.007851852,0.014722222,0.007851852,0.008312161,1.875,1.875,0.833333333,2.079441542
509,1411099,600,Hamden,CT,3.12,M,79339.3266,62,80325,1,153000,0.15,0.525,693,Y,N,N,N,N,N,N,N,N,N,N,N,0,0,0.9,1053,90,23,149900,189900,18,140000,169000,6,3,1.1,1622,141364.87,105000,153000,157778,153000,1500,1750,8,5,5,1.33,1.67,1.67,7,9,7,145000,149900,150000,129,115,98,169000,160900,165000,129,115,98,0.93,96,0.97,5.26,5.39,4.19,0,148000,48784,1,3,2,0,1500,0,175000,3. 35-44,"6. >$60,000",2014 Q4,Third Party Lending,15 Yr,Refi-Cashout,Prime,Non Current,OK,tenant,Refinance Transaction,urban,Over 75%,stable,stable,in balance,3-6 mths,1,det.,c4,Rent,PT,Good,0.021786492,0.011437908,0.011824324,0.011437908,0.011666667,1.033783784,1.033783784,0.542736486,2.104134154
510,1411100,500,Branford,CT,12.09,M,116600,572.44,116600,2,220000,0.15,0.53,561,N,N,N,N,N,N,N,N,N,N,N,N,3,2,3.12,144.2,122,16,269000,399000,7,236000,365000,4,2,1,1320.77,202829.59,124542.34,220000,264000,230956,2113.94,2290,3,2,2,0.5,0.67,0.67,5,6,5,245000,240000,245000,110,79,65,250000,255000,249900,110,79,65,0.95,97,0.97,10,8.96,7.46,0,210000,58444,0,2,2,0,2200,18000,3.00E+05,2. 25-34,"6. >$60,000",2014 Q4,Third Party Lending,6 Month,Refi-Cashout,Sub Prime,Current,OK,tenant,Refinance Transaction,suburban,25-75%,stable,stable,in balance,3-6 mths,1,det.,c4,Own,FT,Good,0.019639794,0.010409091,0.010904762,0.010409091,0.009346939,1.047619048,1.047619048,0.555238095,2.079441542
511,1411101,580,Roscommon,MI,2.95,M,49166.2323,357,45000,1,100500,0.15,0.44776,564,N,N,N,N,N,N,Y,N,N,N,N,N,2,7,6.88,59,17,11,89900,139900,10,84250,137000,6,3,1,1556,86616.57,55000,100500,121994,110940.17,1471.42,1151.6,1,4,5,0.17,1.33,1.67,7,13,11,123500,106500,119000,218,105,98,97500,124900,127900,218,111,101,0.85,90.08,0.92,41.18,9.77,6.59,1,81000,23474,1,1,1,0,1250,20000,2.00E+05,3. 35-44,"5. $40,000-$49,999",2014 Q4,Third Party Lending,6 Month,Refi-Cashout,Sub Prime,Non Current,OK,vacant,Refinance Transaction,rural,under 25%,slow,stable,in balance,3-6 mths,1,det.,c4,Rent,PT,Good,0.025591111,0.011458706,0.014217284,0.011458706,0.009677311,1.240740741,1.240740741,0.555555556,2.079441542
512,1411108,500,Bradenton,FL,2.8,F,42174.11,905.81,42500,2,80000,0.15,0.53125,665,Y,N,N,N,N,N,N,N,N,N,N,N,0,1,0.84,132.86,29,1,135900,135900,0,0,0,6,3,1.1,1120,89173.98,48905.17,125000,127146,90827.34,1674.43,1060,2.27,1.44,1.86,0.3564,0.456,0.9138,1.57,1.79,2.01,75060.02,76453.54,71176.94,103.65,80.98,78.39,94432.26,87711.43,95177.47,145.8,110.52,80.78,0.805,83.0718,0.7804,0,0,0,1,112000,60876,3,2,4,0,1149,25000,95000,4. 45-54,"5. $40,000-$49,999",2014 Q4,Third Party Lending,15 Yr,Refi-Cashout,Prime,Current,OK,others,Refinance Transaction,suburban,Over 75%,stable,stable,in balance,3-6 mths,1,det.,c4,Own,PT,Good,0.024941176,0.01325,0.009464286,0.00848,0.014892464,0.714285714,1.116071429,0.379464286,2.079441542
513,1411109,500,Sebring,FL,1045.96,M,74200,74,74200,1,175000,0.15,0.424,600,Y,N,Y,N,N,N,N,N,N,N,N,N,0,0,0.96,92,43,10,129000,195000,22,129500,319900,7,3,2,1794,128549.14,74000,175000,176816,142575.83,2889.76,980,165,83,85,27.5,27.67,28.33,69,66,64,65800,67500,68000,59,35,39,79900,74200,81500,110,55,54,0.95,95,0.97,2.51,2.39,2.26,1,124000,-15449,3,37,7,0,1200,40000,2.00E+05,5. 55-64,"6. >$60,000",2014 Q4,Third Party Lending,6 Month,Refi-Cashout,Prime,Current,Default,vacant,Refinance Transaction,suburban,Over 75%,stable,stable,in balance,3-6 mths,1,det.,c3,Own,FT,Good,0.013207547,0.0056,0.007903226,0.0056,0.014411765,1.411290323,1.411290323,0.598387097,2.079441542
514,1411112,500,Waterford,MI,1.69,M,33850.59,1003,34500,2,65000,0.18,0.53077,678,N,N,N,N,N,N,N,N,N,N,N,N,0.33,0.71,0.73685,116.34,70,7,73750,145000,34,31799,129900,5,3,1,970,59057.33,18000,65000,94300,73920.13,1209.19,1070,15,8,11,2.5,2.67,3.67,3,2,7,82000,78550,83900,56,8,9,94500,73450,135900,92,93,21,0.98,100.2,1.01,1.2,0.75,1.91,0,58000,14386,6,25,17,0,0,0,0,4. 45-54,"4. $30,000-$39,000",2014 Q4,Third Party Lending,10 Yr,Refi-Cashout,Prime,Current,OK,tenant,Refinance Transaction,suburban,Over 75%,stable,stable,in balance,Under 3 mths,1,det.,c4,Own,PT,Good,0.031014493,0.016461538,0.018448276,0.016461538,0.012753278,1.120689655,1.120689655,0.594827586,2.079441542
515,1411120,500,Rocky Mount,NC,0.27,M,27160.41,1091,27500,2,51000,0.18,0.53922,470,N,N,N,N,N,N,N,N,N,N,N,N,2.65,7.39,3.9143,173.7,115,4,44000,65000,5,54900,719000,8,5,2,2480,47138.79,35900.49,51000,55675,52000,650,1055.8,2,1,1,0.33,0.33,0.33,79.42,22.14,5,58250,57500,65000,397,427,315,61000,60500,68500,397,427,315,0.96,95.8,0.95,20.3932,16.168,15.15,1,41000,4630,5,5,9,0,850,0,0,6. 65+,"3. $20,000-$29,999",2014 Q4,Third Party Lending,10 Yr,Refi-Cashout,Sub Prime,Current,OK,tenant,Refinance Transaction,urban,Over 75%,slow,stable,in balance,Over 6 mths,1,det.,c4,Own,FT,Good,0.038392727,0.020701961,0.02575122,0.020701961,0.016243077,1.243902439,1.243902439,0.670731707,2.079441542
516,1411125,625,Bartlett,TN,910.99,M,68199.5834,215,70490,1,133000,0.15,0.53,624,N,N,N,N,N,N,N,N,N,N,N,N,1.17,2.78,1.7145,82.68,40,26,74900,184500,69,33004,184000,8,3,2,2039,113080.8,56165.22,133000,141096,138147.98,2003.69,1220,28,21,14,4.67,7,4.67,60,49,15,121200,130000,129500,29,17,23,133950,136200,125900,23,74,85,0.98,100,1,12.85,7,3.21,1,112000,27240,4,42,2,0,0,0,125000,6. 65+,"6. >$60,000",2014 Q4,Third Party Lending,6 Month,Refi-Cashout,Prime,Non Current,OK,vacant,Refinance Transaction,suburban,Over 75%,stable,increasing,shortage,Under 3 mths,1,det.,c4,Own,PT,Good,0.017307419,0.009172932,0.010892857,0.009172932,0.009420849,1.1875,1.1875,0.629375,2.128231706
517,1411126,500,Lincoln Park,MI,33.32,M,34567.8,858,35000,2,66000,0.18,0.5303,678,N,N,N,N,N,N,Y,N,N,N,N,N,0,0,0.83,114.97,64,44,17900,99900,136,13000,124500,6,3,1,1190,58368.18,23291.57,66000,93868.42,70476.18,1142.12,880,62,38,36,10.33,12.67,12,38,38,44,43875,54450,50000,67,73,67,49900,49900,54900,102,88,51,0.95,95,0.95,3.68,3,3.67,0,58000,13816,6,25,17,0,0,0,0,4. 45-54,"4. $30,000-$39,000",2014 Q4,Third Party Lending,10 Yr,Refi-Cashout,Prime,Current,OK,tenant,Refinance Transaction,suburban,Over 75%,stable,stable,in balance,Under 3 mths,1,det.,c3,Own,PT,Good,0.025142857,0.013333333,0.015172414,0.013333333,0.0176,1.137931034,1.137931034,0.603448276,2.079441542
518,1411133,500,Thomaston,GA,59.07,F,59180.82,936,59360,0,112000,0.18,0.53,536,N,N,N,N,N,N,N,N,N,N,N,N,1,1,1.12,93.61,10,2,80000,129000,4,53000,160000,4.5,2.5,1,978,108538.91,57361.09,112000,188000,156200,2351.82,1426.6,6.72,3.57,3.27,0.934,1.0132,0.8507,2.83,2.34,3.25,100992.41,102829.44,103477.76,100.11,79.45,80.96,104581.28,115780.24,110845.47,108.41,89.06,86.5,0.9399,92.8535,0.903,0,0,0,0.47,99000,24269.55,0,15,10,0,2000,0,0,4. 45-54,"5. $50,000-$59,000",2015 Q1,Third Party Lending,10 Yr,Refi-Cashout,Sub Prime,Current,Default,tenant,Refinance Transaction,suburban,25-75%,stable,stable,in balance,Under 3 mths,4,det.,c3,Rent,PT,Good,0.024033019,0.0127375,0.014410101,0.0127375,0.013786537,1.131313131,1.131313131,0.59959596,2.079441542
519,1411137,500,Reading,PA,1.27,M,29752,182,29752,8,44000,0.15,0.69683,623,N,N,N,N,N,N,N,N,N,N,N,N,2.46,4.09,1.3448,116.24,85,10,32000,84000,14,26000,75000,3,1,1,756,42696,3000,44000,44790,45500,950.9,470,10,2,2,1.67,0.67,0.67,18,14,14,36500,31200,44625,100,114,70,59450,52400,59950,226,164,131,0.87,73,0.98,10.78,20.9,20.9,0,30000,-16185,32,15,6,0,0,0,0,5. 55-64,"3. $20,000-$29,999",2014 Q4,Third Party Lending,6 Month,Purchase,Prime,Current,OK,vacant,Purchase Transaction,urban,Over 75%,stable,stable,in balance,3-6 mths,2,S-Det./End Unit,c5,Own,FT,Good,0.015797257,0.010681818,0.015666667,0.010681818,0.010532213,1.466666667,1.466666667,0.991733333,2.079441542
520,1411141,500,Southfield,MI,678.71,M,21000,223,21000,1,38000,0.15,0.55263,620,N,N,N,N,N,N,N,N,N,N,N,Y,1,3,1.92,75.83,73,4,35000,69999,13,30000,70000,5,2,1,895,35566,151,38000,51000,43104.16,836.43,710,7,2,4,1.17,0.67,1.33,6,2,4,39900,70000,46200,16,112,41,49950,54200,51200,154,79,50,1,93.46,1.03,5.13,2.99,3.01,0,37000,11010,0,18,1,0,700,5000,70000,4. 45-54,"3. $20,000-$29,999",2014 Q4,Third Party Lending,6 Month,Refi-Cashout,Prime,Current,OK,tenant,Refinance Transaction,suburban,25-75%,stable,stable,in balance,Under 3 mths,1,det.,c4,Rent,PT,Good,0.033809524,0.018684211,0.019189189,0.018684211,0.015367965,1.027027027,1.027027027,0.567567568,2.079441542
521,1411144,500,Lansing,MI,5.19,M,36040,327,36040,1,68000,0.15,0.53,494,N,N,N,N,N,N,N,N,N,N,N,N,1.79,4.33,1.2278,205,79,3,64900,69000,8,62900,73900,7,4,1,1560,57625.25,25509.1,68000,111043,71195.56,829.16,990,4,1,3,0.67,0.33,1,7,4,3,68300,64900,67000,114,28,45,66000,68900,67800,46,22,190,0.99,100,0.95,10.45,12.12,3,1,41000,-5820,1,5,1,0,0,10000,65000,2. 25-34,"4. $30,000-$39,000",2014 Q4,Third Party Lending,6 Month,Refi-Cashout,Sub Prime,Current,OK,others,Refinance Transaction,suburban,Over 75%,stable,stable,in balance,3-6 mths,1,det.,c3,Rent,PT,Good,0.027469478,0.014558824,0.024146341,0.014558824,0.014776119,1.658536585,1.658536585,0.87902439,2.079441542
522,1412001,600,Havertown,PA,2.64,F,113223.344,382,119886,1,245000,0.15,0.689,662,N,N,N,N,N,Y,Y,N,N,N,N,N,0,0,0.67,64.44,61,6.84,168017.99,242575.68,12.43,175428.98,266820.62,8,4,2,1804,186185.64,130133.51,245000,229710.63,206204.74,2116.24,1680,6.34,3.7,3.34,1.1884,1.2601,1.2867,2.51,2.59,5.56,209055.5,202491.78,209309.28,71.15,63.18,80.64,196712.29,212710.61,223582.37,117.92,110.46,58.05,0.8886,90.973,0.9094,0,0,0,0.36,180000,5622,3,5,2,0,1400,0,2.00E+05,3. 35-44,"6. >$60,000",2014 Q4,Third Party Lending,6 Month,Purchase,Prime,Non Current,OK,vacant,Purchase Transaction,suburban,Over 75%,stable,stable,in balance,3-6 mths,1,det.,c5,Own,FT,Good,0.014013313,0.006857143,0.009333333,0.006857143,0.0080264,1.361111111,1.361111111,0.666033333,2.104134154
523,1412007,625,Philadelphia,PA,4.04,M,41248.0928,102,44625,1,85000,0.14,0.525,652,N,N,N,N,N,N,Y,N,N,N,N,N,0,0,0.87,109.62,90,13,25000,1.00E+05,20,25000,1.00E+05,6,3,1,1212,64685.49,7000,85000,85280,80819.66,850.41,950,7,8,5,1.17,2.67,1.67,14.58,13.83,13,30000,40000,40000,88,61,102,61499.52,63125.82,65000,160.15,133.85,99,0.9262,93.8837,0.85,11.2654,7.7415,7.78,1,71000,5136,1,20,1,0,1000,0,0,3. 35-44,"5. $40,000-$49,999",2015 Q1,Third Party Lending,6 Month,Refi-Cashout,Prime,Non Current,OK,vacant,Refinance Transaction,urban,Over 75%,stable,stable,over supply,Under 3 mths,1,att.,c3,Rent,PT,Good,0.021288515,0.011176471,0.013380282,0.011176471,0.02375,1.197183099,1.197183099,0.628521127,2.1102132
